,purpose,scale,level,timing,sn
3321,"Pets/display animals, horticulture",international,non-trivial,recent,Sterna forsteri
3322,NA,NA,NA,NA,Sterna trudeaui
3323,Food - human,NA,non-trivial,recent,Sterna acuticauda
3324,NA,NA,NA,NA,Thalasseus bengalensis
3325,Food - human,NA,non-trivial,recent,Thalasseus bernsteini
3326,Food - human,NA,non-trivial,recent,Thalasseus elegans
3327,Food - human,NA,non-trivial,recent,Thalasseus sandvicensis
3328,Sport hunting/specimen collecting,NA,non-trivial,recent,Thalasseus sandvicensis
3329,"Pets/display animals, horticulture",international,non-trivial,recent,Thalasseus maximus
3330,Food - human,,non-trivial,recent,Thalasseus bergii
3331,Food - human,,non-trivial,recent,Thalasseus bergii
3332,"Pets/display animals, horticulture",international,non-trivial,recent,Thalasseus bergii
3333,"Pets/display animals, horticulture",international,non-trivial,recent,Thalasseus bergii
3334,NA,NA,NA,NA,Stercorarius longicaudus
3335,Sport hunting/specimen collecting,NA,non-trivial,recent,Stercorarius parasiticus
3336,Sport hunting/specimen collecting,NA,non-trivial,recent,Stercorarius pomarinus
3337,"Pets/display animals, horticulture",international,non-trivial,recent,Catharacta skua
3338,NA,NA,NA,NA,Catharacta maccormicki
3339,NA,NA,NA,NA,Catharacta antarctica
3340,Food - human,NA,non-trivial,recent,Catharacta chilensis
3341,Food - human,,non-trivial,recent,Cerorhinca monocerata
3342,"Pets/display animals, horticulture",international,non-trivial,recent,Cerorhinca monocerata
3343,"Pets/display animals, horticulture",international,non-trivial,recent,Fratercula cirrhata
3344,Food - human,NA,non-trivial,recent,Fratercula arctica
3345,"Pets/display animals, horticulture",international,non-trivial,recent,Fratercula corniculata
3346,Food - human,NA,non-trivial,recent,Ptychoramphus aleuticus
3347,Food - human,,non-trivial,recent,Aethia psittacula
3348,"Pets/display animals, horticulture",international,non-trivial,recent,Aethia psittacula
3349,Food - human,,non-trivial,recent,Aethia pusilla
3350,"Pets/display animals, horticulture",international,non-trivial,recent,Aethia pusilla
3351,"Pets/display animals, horticulture",international,non-trivial,recent,Aethia pygmaea
3352,Food - human,,non-trivial,recent,Aethia cristatella
3353,"Pets/display animals, horticulture",international,non-trivial,recent,Aethia cristatella
3354,NA,NA,NA,NA,Brachyramphus perdix
3355,NA,NA,NA,NA,Brachyramphus marmoratus
3356,NA,NA,NA,NA,Brachyramphus brevirostris
3357,"Pets/display animals, horticulture",international,non-trivial,recent,Cepphus grylle
3358,"Pets/display animals, horticulture",international,non-trivial,recent,Cepphus columba
3359,Food - human,,non-trivial,recent,Cepphus carbo
3360,"Pets/display animals, horticulture",international,non-trivial,recent,Cepphus carbo
3361,NA,NA,NA,NA,Synthliboramphus antiquus
3362,Food - human,NA,non-trivial,recent,Synthliboramphus wumizusume
3363,NA,NA,NA,NA,Synthliboramphus scrippsi
3364,NA,NA,NA,NA,Synthliboramphus hypoleucus
3365,Food - human,NA,non-trivial,recent,Synthliboramphus craveri
3366,Food - human,,non-trivial,recent,Alca torda
3367,"Pets/display animals, horticulture",international,non-trivial,recent,Alca torda
3368,Food - human,NA,non-trivial,recent,Alle alle
3369,Food - human,,non-trivial,recent,Uria lomvia
3370,Food - human,,non-trivial,recent,Uria lomvia
3371,"Pets/display animals, horticulture",international,non-trivial,recent,Uria lomvia
3372,"Pets/display animals, horticulture",international,non-trivial,recent,Uria lomvia
3373,Food - human,,non-trivial,recent,Uria aalge
3374,Food - human,,non-trivial,recent,Uria aalge
3375,"Pets/display animals, horticulture",international,non-trivial,recent,Uria aalge
3376,"Pets/display animals, horticulture",international,non-trivial,recent,Uria aalge
3377,"Pets/display animals, horticulture",international,non-trivial,recent,Phodilus badius
3378,"Pets/display animals, horticulture",international,non-trivial,recent,Phodilus assimilis
3379,NA,NA,NA,NA,Phodilus prigoginei
3380,NA,NA,NA,NA,Tyto capensis
3381,NA,NA,NA,NA,Tyto longimembris
3382,"Pets/display animals, horticulture",international,non-trivial,recent,Tyto tenebricosa
3383,"Pets/display animals, horticulture",international,non-trivial,recent,Tyto multipunctata
3384,NA,NA,NA,NA,Tyto novaehollandiae
3385,"Pets/display animals, horticulture",international,non-trivial,recent,Tyto aurantia
3386,NA,NA,NA,NA,Tyto nigrobrunnea
3387,NA,NA,NA,NA,Tyto inexspectata
3388,NA,NA,NA,NA,Tyto rosenbergii
3389,Food - human,,non-trivial,recent,Tyto soumagnei
3390,Medicine - human & veterinary,international,non-trivial,recent,Tyto soumagnei
3391,Other household goods,,non-trivial,recent,Tyto alba
3392,"Pets/display animals, horticulture",international,non-trivial,recent,Tyto alba
3393,Sport hunting/specimen collecting,,non-trivial,recent,Tyto alba
3394,NA,NA,NA,NA,Tyto glaucops
3395,NA,NA,NA,NA,Ninox rufa
3396,NA,NA,NA,NA,Ninox strenua
3397,NA,NA,NA,NA,Ninox connivens
3398,NA,NA,NA,NA,Ninox rudolfi
3399,NA,NA,NA,NA,Ninox affinis
3400,NA,NA,NA,NA,Ninox boobook
3401,NA,NA,NA,NA,Ninox rotiensis
3402,Food - human,NA,non-trivial,recent,Ninox fusca
3403,NA,NA,NA,NA,Ninox plesseni
3404,"Pets/display animals, horticulture",international,non-trivial,recent,Ninox leucopsis
3405,"Pets/display animals, horticulture",international,non-trivial,recent,Ninox novaeseelandiae
3406,NA,NA,NA,NA,Ninox sumbaensis
3407,Food - human,,non-trivial,recent,Ninox scutulata
3408,"Pets/display animals, horticulture",international,non-trivial,recent,Ninox scutulata
3409,Food - human,,non-trivial,recent,Ninox obscura
3410,"Pets/display animals, horticulture",international,non-trivial,recent,Ninox obscura
3411,Food - human,,non-trivial,recent,Ninox japonica
3412,"Pets/display animals, horticulture",international,non-trivial,recent,Ninox japonica
3413,Food - human,,non-trivial,recent,Ninox randi
3414,"Pets/display animals, horticulture",international,non-trivial,recent,Ninox randi
3415,"Pets/display animals, horticulture",international,non-trivial,recent,Ninox philippensis
3416,"Pets/display animals, horticulture",international,non-trivial,recent,Ninox spilocephala
3417,"Pets/display animals, horticulture",international,non-trivial,recent,Ninox mindorensis
3418,"Pets/display animals, horticulture",international,non-trivial,recent,Ninox spilonotus
3419,"Pets/display animals, horticulture",international,non-trivial,recent,Ninox rumseyi
3420,"Pets/display animals, horticulture",international,non-trivial,recent,Ninox leventisi
3421,"Pets/display animals, horticulture",international,non-trivial,recent,Ninox reyi
3422,NA,NA,NA,NA,Ninox ochracea
3423,NA,NA,NA,NA,Ninox burhani
3424,NA,NA,NA,NA,Ninox ios
3425,NA,NA,NA,NA,Ninox hypogramma
3426,NA,NA,NA,NA,Ninox forbesi
3427,NA,NA,NA,NA,Ninox squamipila
3428,NA,NA,NA,NA,Ninox hantu
3429,NA,NA,NA,NA,Ninox natalis
3430,NA,NA,NA,NA,Ninox theomacha
3431,NA,NA,NA,NA,Ninox meeki
3432,NA,NA,NA,NA,Ninox punctulata
3433,NA,NA,NA,NA,Ninox variegata
3434,NA,NA,NA,NA,Ninox odiosa
3435,"Pets/display animals, horticulture",international,non-trivial,recent,Ninox jacquinoti
3436,"Pets/display animals, horticulture",international,non-trivial,recent,Ninox granti
3437,"Pets/display animals, horticulture",international,non-trivial,recent,Ninox malaitae
3438,"Pets/display animals, horticulture",international,non-trivial,recent,Ninox roseoaxillaris
3439,NA,NA,NA,NA,Uroglaux dimorpha
3440,"Pets/display animals, horticulture",international,non-trivial,recent,Surnia ulula
3441,NA,NA,NA,NA,Glaucidium passerinum
3442,NA,NA,NA,NA,Glaucidium brodiei
3443,NA,NA,NA,NA,Glaucidium sylvaticum
3444,NA,NA,NA,NA,Glaucidium perlatum
3445,NA,NA,NA,NA,Glaucidium tephronotum
3446,NA,NA,NA,NA,Glaucidium sjostedti
3447,NA,NA,NA,NA,Glaucidium cuculoides
3448,NA,NA,NA,NA,Glaucidium castanopterum
3449,NA,NA,NA,NA,Glaucidium radiatum
3450,NA,NA,NA,NA,Glaucidium castanotum
3451,"Pets/display animals, horticulture",international,non-trivial,recent,Glaucidium capense
3452,NA,NA,NA,NA,Glaucidium castaneum
3453,NA,NA,NA,NA,Glaucidium albertinum
3454,NA,NA,NA,NA,Glaucidium gnoma
3455,NA,NA,NA,NA,Glaucidium costaricanum
3456,NA,NA,NA,NA,Glaucidium nubicola
3457,NA,NA,NA,NA,Glaucidium jardinii
3458,NA,NA,NA,NA,Glaucidium bolivianum
3459,NA,NA,NA,NA,Glaucidium palmarum
3460,NA,NA,NA,NA,Glaucidium sanchezi
3461,NA,NA,NA,NA,Glaucidium griseiceps
3462,"Pets/display animals, horticulture",international,non-trivial,recent,Glaucidium parkeri
3463,"Pets/display animals, horticulture",international,non-trivial,recent,Glaucidium hardyi
3464,"Pets/display animals, horticulture",international,non-trivial,recent,Glaucidium minutissimum
3465,"Pets/display animals, horticulture",international,non-trivial,recent,Glaucidium brasilianum
3466,NA,NA,NA,NA,Glaucidium peruanum
3467,NA,NA,NA,NA,Glaucidium nana
3468,NA,NA,NA,NA,Glaucidium siju
3469,NA,NA,NA,NA,Xenoglaux loweryi
3470,"Pets/display animals, horticulture",international,non-trivial,recent,Micrathene whitneyi
3471,NA,NA,NA,NA,Athene cunicularia
3472,NA,NA,NA,NA,Athene brama
3473,"Pets/display animals, horticulture",international,non-trivial,recent,Athene noctua
3474,Sport hunting/specimen collecting,,non-trivial,recent,Athene noctua
3475,NA,NA,NA,NA,Athene superciliaris
3476,Other household goods,,non-trivial,recent,Athene blewitti
3477,"Pets/display animals, horticulture",international,non-trivial,recent,Athene blewitti
3478,"Pets/display animals, horticulture",international,non-trivial,recent,Aegolius funereus
3479,NA,NA,NA,NA,Aegolius acadicus
3480,NA,NA,NA,NA,Aegolius ridgwayi
3481,NA,NA,NA,NA,Aegolius harrisii
3482,NA,NA,NA,NA,Otus sagittatus
3483,NA,NA,NA,NA,Otus rufescens
3484,NA,NA,NA,NA,Otus thilohoffmanni
3485,NA,NA,NA,NA,Otus icterorhynchus
3486,NA,NA,NA,NA,Otus ireneae
3487,NA,NA,NA,NA,Otus gurneyi
3488,Food - human,,non-trivial,recent,Otus semitorques
3489,Medicine - human & veterinary,,non-trivial,recent,Otus semitorques
3490,"Pets/display animals, horticulture",international,non-trivial,recent,Otus semitorques
3491,Food - human,,non-trivial,recent,Otus lettia
3492,Medicine - human & veterinary,,non-trivial,recent,Otus lettia
3493,"Pets/display animals, horticulture",international,non-trivial,recent,Otus lettia
3494,Food - human,,non-trivial,recent,Otus lempiji
3495,Medicine - human & veterinary,,non-trivial,recent,Otus lempiji
3496,"Pets/display animals, horticulture",international,non-trivial,recent,Otus lempiji
3497,Food - human,,non-trivial,recent,Otus bakkamoena
3498,Medicine - human & veterinary,,non-trivial,recent,Otus bakkamoena
3499,"Pets/display animals, horticulture",international,non-trivial,recent,Otus bakkamoena
3500,"Pets/display animals, horticulture",international,non-trivial,recent,Otus megalotis
3501,"Pets/display animals, horticulture",international,non-trivial,recent,Otus nigrorum
3502,"Pets/display animals, horticulture",international,non-trivial,recent,Otus everetti
3503,NA,NA,NA,NA,Otus fuliginosus
3504,NA,NA,NA,NA,Otus mentawi
3505,NA,NA,NA,NA,Otus silvicola
3506,NA,NA,NA,NA,Otus enganensis
3507,NA,NA,NA,NA,Otus umbra
3508,NA,NA,NA,NA,Otus alius
3509,NA,NA,NA,NA,Otus balli
3510,NA,NA,NA,NA,Otus alfredi
3511,NA,NA,NA,NA,Otus spilocephalus
3512,NA,NA,NA,NA,Otus angelinae
3513,"Pets/display animals, horticulture",international,non-trivial,recent,Otus brookii
3514,NA,NA,NA,NA,Otus pamelae
3515,NA,NA,NA,NA,Otus pembaensis
3516,"Pets/display animals, horticulture",international,non-trivial,recent,Otus senegalensis
3517,NA,NA,NA,NA,Otus feae
3518,NA,NA,NA,NA,Otus hartlaubi
3519,NA,NA,NA,NA,Otus bikegila
3520,"Pets/display animals, horticulture",international,non-trivial,recent,Otus scops
3521,NA,NA,NA,NA,Otus cyprius
3522,"Pets/display animals, horticulture",international,non-trivial,recent,Otus brucei
3523,NA,NA,NA,NA,Otus longicornis
3524,NA,NA,NA,NA,Otus mirus
3525,NA,NA,NA,NA,Otus mindorensis
3526,NA,NA,NA,NA,Otus rutilus
3527,NA,NA,NA,NA,Otus mayottensis
3528,Food - human,NA,non-trivial,recent,Otus capnodes
3529,NA,NA,NA,NA,Otus pauliani
3530,Food - human,NA,non-trivial,recent,Otus moheliensis
3531,NA,NA,NA,NA,Otus socotranus
3532,NA,NA,NA,NA,Otus insularis
3533,Food - human,,non-trivial,recent,Otus sunia
3534,"Pets/display animals, horticulture",international,non-trivial,recent,Otus sunia
3535,"Pets/display animals, horticulture",international,non-trivial,recent,Otus elegans
3536,NA,NA,NA,NA,Otus siaoensis
3537,NA,NA,NA,NA,Otus manadensis
3538,NA,NA,NA,NA,Otus sulaensis
3539,NA,NA,NA,NA,Otus collari
3540,NA,NA,NA,NA,Otus mantananensis
3541,NA,NA,NA,NA,Otus magicus
3542,NA,NA,NA,NA,Otus jolandae
3543,NA,NA,NA,NA,Otus tempestatis
3544,NA,NA,NA,NA,Otus beccarii
3545,NA,NA,NA,NA,Pyrroglaux podargina
3546,"Pets/display animals, horticulture",international,non-trivial,recent,Ptilopsis leucotis
3547,"Pets/display animals, horticulture",international,non-trivial,recent,Ptilopsis granti
3548,"Pets/display animals, horticulture",international,non-trivial,recent,Asio stygius
3549,Food - human,,non-trivial,recent,Asio otus
3550,"Pets/display animals, horticulture",international,non-trivial,recent,Asio otus
3551,Sport hunting/specimen collecting,,non-trivial,recent,Asio otus
3552,NA,NA,NA,NA,Asio abyssinicus
3553,NA,NA,NA,NA,Asio madagascariensis
3554,"Pets/display animals, horticulture",international,non-trivial,recent,Asio clamator
3555,"Pets/display animals, horticulture",international,non-trivial,recent,Asio flammeus
3556,Sport hunting/specimen collecting,,non-trivial,recent,Asio flammeus
3557,"Pets/display animals, horticulture",international,non-trivial,recent,Asio capensis
3558,NA,NA,NA,NA,Pseudoscops grammicus
3559,NA,NA,NA,NA,Nesasio solomonensis
3560,NA,NA,NA,NA,Psiloscops flammeolus
3561,NA,NA,NA,NA,Megascops kennicottii
3562,NA,NA,NA,NA,Megascops seductus
3563,NA,NA,NA,NA,Megascops cooperi
3564,"Pets/display animals, horticulture",international,non-trivial,recent,Megascops asio
3565,NA,NA,NA,NA,Megascops trichopsis
3566,"Pets/display animals, horticulture",NA,non-trivial,recent,Megascops choliba
3567,NA,NA,NA,NA,Megascops roboratus
3568,NA,NA,NA,NA,Megascops koepckeae
3569,NA,NA,NA,NA,Megascops clarkii
3570,"Pets/display animals, horticulture",international,non-trivial,recent,Megascops barbarus
3571,NA,NA,NA,NA,Megascops ingens
3572,NA,NA,NA,NA,Megascops petersoni
3573,NA,NA,NA,NA,Megascops marshalli
3574,"Pets/display animals, horticulture",international,non-trivial,recent,Megascops watsonii
3575,"Pets/display animals, horticulture",international,non-trivial,recent,Megascops guatemalae
3576,"Pets/display animals, horticulture",international,non-trivial,recent,Megascops vermiculatus
3577,NA,NA,NA,NA,Megascops hoyi
3578,NA,NA,NA,NA,Megascops atricapilla
3579,NA,NA,NA,NA,Megascops sanctaecatarinae
3580,NA,NA,NA,NA,Megascops nudipes
3581,NA,NA,NA,NA,Megascops albogularis
3582,NA,NA,NA,NA,Megascops gilesi
3583,NA,NA,NA,NA,Margarobyas lawrencii
3584,"Pets/display animals, horticulture",international,non-trivial,recent,Pulsatrix perspicillata
3585,"Pets/display animals, horticulture",international,non-trivial,recent,Pulsatrix koeniswaldiana
3586,"Pets/display animals, horticulture",international,non-trivial,recent,Pulsatrix melanota
3587,NA,NA,NA,NA,Strix seloputo
3588,NA,NA,NA,NA,Strix ocellata
3589,NA,NA,NA,NA,Strix leptogrammica
3590,"Pets/display animals, horticulture",international,non-trivial,recent,Strix aluco
3591,"Pets/display animals, horticulture",international,non-trivial,recent,Strix nivicolum
3592,"Pets/display animals, horticulture",international,non-trivial,recent,Strix hadorami
3593,NA,NA,NA,NA,Strix butleri
3594,"Pets/display animals, horticulture",international,non-trivial,recent,Strix occidentalis
3595,NA,NA,NA,NA,Strix varia
3596,NA,NA,NA,NA,Strix fulvescens
3597,"Pets/display animals, horticulture",international,non-trivial,recent,Strix hylophila
3598,NA,NA,NA,NA,Strix chacoensis
3599,NA,NA,NA,NA,Strix rufipes
3600,"Pets/display animals, horticulture",international,non-trivial,recent,Strix uralensis
3601,"Pets/display animals, horticulture",international,non-trivial,recent,Strix nebulosa
3602,NA,NA,NA,NA,Strix woodfordii
3603,NA,NA,NA,NA,Jubula lettii
3604,"Pets/display animals, horticulture",international,non-trivial,recent,Lophostrix cristata
3605,Food - human,,non-trivial,recent,Bubo scandiacus
3606,Other household goods,,non-trivial,recent,Bubo scandiacus
3607,"Pets/display animals, horticulture",international,non-trivial,recent,Bubo scandiacus
3608,"Pets/display animals, horticulture",international,non-trivial,recent,Bubo virginianus
3609,"Pets/display animals, horticulture",international,non-trivial,recent,Bubo virginianus
3610,Sport hunting/specimen collecting,,non-trivial,recent,Bubo virginianus
3611,Sport hunting/specimen collecting,,non-trivial,recent,Bubo virginianus
3612,"Pets/display animals, horticulture",international,non-trivial,recent,Bubo magellanicus
3613,Sport hunting/specimen collecting,,non-trivial,recent,Bubo magellanicus
3614,Medicine - human & veterinary,,non-trivial,recent,Bubo bubo
3615,"Pets/display animals, horticulture",international,non-trivial,recent,Bubo bubo
3616,"Pets/display animals, horticulture",international,non-trivial,recent,Bubo ascalaphus
3617,NA,NA,NA,NA,Bubo bengalensis
3618,NA,NA,NA,NA,Bubo capensis
3619,NA,NA,NA,NA,Bubo africanus
3620,NA,NA,NA,NA,Bubo milesi
3621,"Pets/display animals, horticulture",international,non-trivial,recent,Bubo cinerascens
3622,"Pets/display animals, horticulture",international,non-trivial,recent,Bubo poensis
3623,NA,NA,NA,NA,Bubo lacteus
3624,NA,NA,NA,NA,Bubo shelleyi
3625,Food - human,international,non-trivial,recent,Bubo sumatranus
3626,"Pets/display animals, horticulture",international,non-trivial,recent,Bubo sumatranus
3627,"Pets/display animals, horticulture",international,non-trivial,recent,Bubo nipalensis
3628,NA,NA,NA,NA,Bubo coromandus
3629,"Pets/display animals, horticulture",international,non-trivial,recent,Bubo leucostictus
3630,NA,NA,NA,NA,Bubo philippensis
3631,NA,NA,NA,NA,Bubo blakistoni
3632,NA,NA,NA,NA,Ketupa zeylonensis
